family,n,expr chars,function ms,forward ms,reverse ms,fwd/function,rev/function,match
dense_linear_sum,2,11,    10.77,     8.16,     7.89,   0.76x,   0.73x,yes
dense_linear_sum,4,25,    10.40,     7.81,     8.25,   0.75x,   0.79x,yes
dense_linear_sum,8,53,     8.89,     7.72,     7.77,   0.87x,   0.87x,yes
dense_quadratic_sum,2,25,     8.14,     7.61,     8.36,   0.94x,   1.03x,yes
dense_quadratic_sum,4,53,     8.18,     6.99,     7.58,   0.86x,   0.93x,yes
dense_quadratic_sum,8,109,     8.07,     7.69,     7.86,   0.95x,   0.97x,yes
dense_coupled_square,2,28,     7.87,     7.24,     7.86,   0.92x,   1.00x,yes
dense_coupled_square,4,42,     7.53,     7.06,     7.79,   0.94x,   1.03x,yes
dense_coupled_square,8,70,     8.35,     8.02,     7.95,   0.96x,   0.95x,yes
probabilistic_branch,2,90,     8.52,     8.73,     7.22,   1.02x,   0.85x,yes
probabilistic_branch,4,132,     8.52,     8.85,     9.01,   1.04x,   1.06x,yes
probabilistic_branch,8,216,     8.17,    10.26,     9.94,   1.26x,   1.22x,yes
discrete_chain,2,173,     9.00,     7.68,     7.53,   0.85x,   0.84x,yes
discrete_chain,4,347,     9.89,    11.58,    12.28,   1.17x,   1.24x,yes
discrete_chain,8,695,    18.35,   654.95,  1502.06,  35.69x,  81.85x,yes
